# Distinct values of the MiSTer arcade catalog columns the misterarcade
# mapper reads, pinned so the coverage tests do not depend on the
# gitignored, build-time download of the moving upstream file.
# Source: https://raw.githubusercontent.com/MiSTer-devel/ArcadeDatabase_MiSTer/main/ArcadeDatabase.csv
# (GPL-3.0), fetched 2026-09-24, md5 4ff5affea69fbce0c3791492c2af43f9.
# Refresh it from a newer catalog when upstream adds values, then curate
# whatever the coverage tests report. Format: column<TAB>value.
region	Argentina
region	Asia
region	Brazil
region	Canada
region	China
region	Etc.
region	Europe
region	France
region	Germany
region	Greece
region	Hispanic
region	Hong Kong
region	Italy
region	Japan
region	Korea
region	Spain
region	Taiwan
region	UK
region	US
region	USA
region	USA - Asia
region	World
region	bootleg
version	(AT- HK) (Sat Feb 3 1996)
version	(EU- US - JP - AS) (Sat Feb 3 1996)
version	(KO-GR)
version	(New version) (P0-041A PCB)
version	(P0-028-A PCB)
version	(TW- DE) (Thu Feb 1 1996)
version	(Wed Jan 17 1996)
version	(Zakk roms) (EU- US - JP - AS) (Sat Feb 3 1996)
version	(old version) (P0-041A PCB)
version	(prototype) (P0-041-1 PCB)
version	(unknown version) (P0-041A PCB)
version	001128 V1.200
version	010117, Second Loop
version	02-03-88
version	1010
version	1011
version	10117
version	10205
version	10226
version	10302
version	10820
version	111187 Sound Program
version	12-26-1985
version	121
version	128k Version, 315-5051
version	160117
version	1986 Year Hack
version	1P Set
version	2 Marios
version	2 Player, Rev 1
version	2 Player, Version -
version	2 Player, Version 1
version	2 Player, Version U
version	2 Players
version	2 Players, FD1094 317-0080
version	2 Players, Rev 1
version	2 Players, Rev 2
version	2 Players, Rev 3
version	2 Players, Rev 4
version	2 Players, Rev 5
version	2 Players, Rev 6
version	2 player alternating
version	2 player cooperative
version	2002.05.15 Master Ver
version	2003.01.01. Master Ver.
version	2003.10.15 Master Ver
version	2006 BIOS
version	210408
version	255 Maze Fix
version	255th Maze Fix
version	2600 GFX
version	2K0411
version	2P
version	2P Set
version	31222
version	315-5030
version	315-5033, Rev A
version	315-5041
version	315-5048
version	315-5056
version	315-5064
version	315-5093
version	315-5102
version	315-5110
version	315-5115, New Ver
version	315-5135
version	315-5162
version	315-5xxx
version	317-0006
version	317-0011a
version	317-0015
version	317-0016
version	317-0018
version	317-5000
version	32k Ver
version	4 Player, Version -
version	4 Player, Version 2
version	4 Player, Version F
version	4 Player, Version H
version	4 Player, Version J
version	4 Player, Version N
version	4 Player, Version R
version	4 Player, Version S
version	4 Player, Version X
version	4 Players
version	4 Players, 8751 315-5194
version	4 Players, FD1094 317-0070
version	4 Players, FD1094 317-0071
version	4 Players, FD1094 317-0074
version	4 Players, Prototype
version	40202
version	412
version	6 Bullet
version	620
version	68705
version	8085A CPU
version	851115
version	851115, Censored
version	851115, Set 1
version	851115, Set 2
version	860408
version	861128
version	861129
version	861202
version	8751 317-0010
